"SMTP Pro Email General Settings","SMTP Pro Email - Grundlegende Einstellungen"
"If you are experiencing problems with this extension please run the self diagnosing test by clicking the button below. The module will log what it is doing if you enable logging, this can be useful to determine problems aswell. If you have any questions or would like any help please visit &lt;a href='http://aschroder.com' target='_blank'&gt;ASchroder.com&lt;/a&gt;.","Wenn Probleme mit dieser Erweiterung auftreten, starten Sie den Selbsttest durch Klick auf den Knopf unten. Das Modul wird alle Vorgänge protokollieren, wenn das Logging aktiviert ist, dies kann ebenfalls zum Aufdecken von Problemen genutzt werden. Sollten Sie Fragen haben oder wünschen sich Hilfe, so besuchen Sie bitte &lt;a href='http://aschroder.com' target='_blank'&gt;ASchroder.com&lt;/a&gt;. "
"Choose extension option","Wählen Sie eine Versandoption"
"This will determine if the extension uses the simple Google Apps/Gmail configuration, The advanced SMTP configuration or disables the extension completely.","Dies entscheidet, ob die Google-Apps/Gmail-Konfiguration oder die erweiterte Konfiguration verwendet oder die Erweiterung komplett deaktiviert werden soll."
"Use Store Email Addresses for Reply-to","Store-E-Mail-Adressen für Antwort-an-Header verwenden"
"Development Mode options","Entwicklermodus"
"Development Mode disabled","Entwicklermodus deaktiviert"
"Redirect to contact form email","Auf Kontaktformular-Adresse weiterleiten"
"Supress all emails","Alle E-Mails unterdrücken"
"These options can be used during development and testing to control the destination of all emails, or to stop Magento emails sending. (Note: if extensions do not send emails 'the magento way' then they will not be supressed)","Diese Optionen können während Entwicklung und Testphase genutzt werden, um das Mail-Ziel zu steuern oder alle Magento-E-Mails abzufangen. (Hinweis: Wenn eine Erweiterung Mails am Magento-Standard vorbei sendet, können sie nicht beeinflusst werden)"
"Log all messages","Alle Nachrichten protokollieren"
"Email Log","E-Mail-Protokoll"
"This will log all outbound emails to the table smtppro_email_log and allow viewing within the admin interface from System->Tools->Email Log.","Dies wird alle ausgehenden E-Mails in der Tabelle smtppro_email_log protokollieren. Das Protokoll kann im Backend unter System->Werkzeuge->E-Mail-Protokoll eingesehen werden."
"Run Self Test","Selbsttest durchführen"
"This test will ensure the configuration in your Google Apps/ Gmail OR SMTP section are working. You have to save the settings from either of these sections before running this test.","Dieser Test wird sicherstellen, dass die Konfiguration im Google-Apps/Gmail- oder SMTP-Abschnitt korrekt ist. Vor dem Test müssen die Einstellungen in diesen Abschnitten gespeichert werden."
"SMTP Pro Email Google Apps/Gmail Settings","SMTP Pro Email - Google-Apps/Gmail-Einstellungen"
"SMTP Pro Email SMTP Settings","SMTP Pro Email - SMTP-Einstellungen"
"Authentication","Authentifizierung"
"None (ignore username/password)","Keine (ignoriere Benutzername/Passwort)"
"This will determine if and how you authenticate with your SMTP server. If you choose no authentication then the username and password below are not used.","Dies legt fest, ob und wie die Authentifizierung am SMTP-Server erfolgen soll. Entfällt die Authentifizierung, werden die Felder für Benutzername und Passwort nicht genutzt."
"Username","Benutzername"
"If you use Authentication for your SMTP server this is the username used to authenticate.","Bei Verwendung von Authentifizierung am SMTP-Server wird dieser Benutzername zur Anmeldung verwendet"
"If you use Authentication for your SMTP server this is the password used to authenticate.","Bei Verwendung von Authentifizierung am SMTP-Server wird dieses Passwort zur Anmeldung verwendet"
"This is the SMTP server hostname you would like to send your emails through. This is required.","Der Hostname des SMTP-Servers, über den die E-Mails verschickt werden sollen. Dies ist ein Pflichtfeld"
"This is the port on the SMTP server you connect to. The value is optional, it defaults to 25 for none and TLS or 465 for SSL.","Der Port über den der SMTP-Server erreicht werden soll. Dieser Wert ist optional, ohne Angabe wird Port 25 ohne Verschlüsselung oder mit TLS, Port 465 für SSL verwendet"
"SSL Security","SSL-Sicherheit"
"No SSL","Kein SSL"
"This will determine if any SSL security should be used to connect to your SMTP server.","Dies gibt an, welche SSL-Sicherheit für die Verbindung zum SMTP-Server verwendet werden soll."TP server you connect to. The value is optional, it defaults to 25 for none and TLS or 465 for SSL.","Der Port über den der SMTP-Server erreicht werden soll. Dieser Wert ist optional, ohne Angabe wird Port 25 ohne Verschlüsselung oder mit TLS, Port 465 für SSL verwendet"
"SSL Security","SSL-Sicherheit"
"No SSL","Kein SSL"
"This will determine if any SSL security should be used to connect to your SMTP server.","Dies gibt an, welche SSL-Sicherheit für die Verbindung zum SMTP-Server verwe